Date, Name, Status, Description
06/10/2021 16:28:38, Johnathan Davis , Exception,Technical Exception : Unable to open additional driver window
06/10/2021 16:31:51, Nate Luong , Success,Sucessfully quote generated
06/10/2021 16:34:57, Sabrena Langston , Exception,Technical Exception : Unable to open Quote window 
06/10/2021 16:37:51, Robert Ingrassia , Exception,Technical Exception : Unable to open Quote window 
06/10/2021 16:39:33, Carl Swinger , Exception,Technical Exception : Unable to open Quote window 
06/10/2021 16:40:35, Julia Stewart , Unknown Error,No open windows found for 'chrome.exe'. Please check if the application is running.
